repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
penny,Add Gorgias to pattern,https://github.com/takeshape/penny/pull/25,2022-05-31T21:54:15Z,2022-06-01T20:36:52Z,3,1,MERGED
penny,Uses Mock Service Worker library for simulating network requests,https://github.com/takeshape/penny/pull/24,2022-05-31T20:23:20Z,2022-06-01T20:50:18Z,5,4,MERGED
penny,User accounts -> Shopify,https://github.com/takeshape/penny/pull/23,2022-05-31T14:46:02Z,2022-06-03T20:36:15Z,22,28,MERGED
penny,ProductPage components,https://github.com/takeshape/penny/pull/22,2022-05-27T19:27:19Z,2022-06-03T14:55:29Z,7,2,MERGED
penny,"clean up, reorg",https://github.com/takeshape/penny/pull/21,2022-05-26T20:58:59Z,2022-05-26T21:11:44Z,4,2,MERGED
penny,Storybook cleanup,https://github.com/takeshape/penny/pull/20,2022-05-26T19:50:21Z,2022-05-26T21:02:40Z,1,3,MERGED
penny,Use Shopify for order details,https://github.com/takeshape/penny/pull/19,2022-05-26T19:35:21Z,2022-05-27T18:46:23Z,4,9,MERGED
penny,Redirect to same origin after checkout,https://github.com/takeshape/penny/pull/18,2022-05-25T22:20:08Z,2022-05-26T16:04:07Z,5,2,MERGED
penny,Add Shopify customer sign in and custom pages,https://github.com/takeshape/penny/pull/17,2022-05-25T22:18:42Z,2022-05-26T19:29:03Z,22,19,MERGED
penny,Feedback in newsletter subscription form component,https://github.com/takeshape/penny/pull/16,2022-05-25T20:02:37Z,2022-05-26T17:24:11Z,5,2,MERGED
penny,Update products and subscriptions to use Shopify,https://github.com/takeshape/penny/pull/14,2022-05-24T19:03:05Z,2022-05-25T00:44:31Z,3,11,MERGED
penny,Upgrade to Storybook 6.5,https://github.com/takeshape/penny/pull/13,2022-05-18T20:03:26Z,2022-05-18T21:35:53Z,2,2,MERGED
penny,Cart components,https://github.com/takeshape/penny/pull/12,2022-05-18T18:52:23Z,2022-05-20T12:32:20Z,10,12,MERGED
penny,"reorg nav and search, plus storybooks",https://github.com/takeshape/penny/pull/11,2022-05-16T17:23:49Z,2022-05-16T20:33:49Z,3,2,MERGED
penny,Contact component,https://github.com/takeshape/penny/pull/10,2022-05-16T17:15:41Z,2022-05-19T20:28:21Z,6,4,MERGED
penny,Footer components,https://github.com/takeshape/penny/pull/9,2022-05-13T19:45:43Z,2022-05-18T21:40:33Z,17,3,MERGED
penny,ProductCategory components,https://github.com/takeshape/penny/pull/8,2022-05-13T14:59:33Z,2022-05-16T14:49:27Z,3,7,MERGED
penny,Creates Storefront components,https://github.com/takeshape/penny/pull/7,2022-05-12T14:15:47Z,2022-05-13T16:22:35Z,5,6,MERGED
penny,Use NextAuth and custom OIDC logic,https://github.com/takeshape/penny/pull/6,2022-05-11T20:04:36Z,2022-05-16T19:40:10Z,4,19,MERGED
penny,Update README instructions [skip ci],https://github.com/takeshape/penny/pull/5,2022-05-03T22:03:15Z,2022-05-04T16:16:02Z,2,1,MERGED
penny,initial navigation component and story,https://github.com/takeshape/penny/pull/4,2022-05-02T20:55:33Z,2022-05-11T15:36:18Z,21,38,MERGED
penny,e'erthang,https://github.com/takeshape/penny/pull/3,2022-04-29T17:24:30Z,2022-04-29T18:28:30Z,3,7,MERGED
